trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.95}",20,0,-140.332470572372,"{0: 9, 1: 0, 2: 9, 3: 1, 4: 1}",0
2,False,"{'a': 0.2, 'e': 0.8999999999999999}",25,0,-91.51963191444516,"{0: 12, 1: 4, 2: 9, 3: 0, 4: 0}",0
3,False,"{'a': 0.2, 'e': 0.8499999999999999}",25,0,-181.04110940333445,"{0: 15, 1: 3, 2: 2, 3: 2, 4: 3}",0
4,False,"{'a': 0.2, 'e': 0.7999999999999998}",20,0,-79.36994221960362,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.2, 'e': 0.7499999999999998}",20,0,-81.11469780690594,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.2, 'e': 0.6999999999999997}",35,0,-107.50636568197729,"{0: 22, 1: 4, 2: 6, 3: 3, 4: 0}",0
7,False,"{'a': 0.2, 'e': 0.6499999999999997}",20,0,-48.723183801109286,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.2, 'e': 0.5999999999999996}",20,0,-73.28794147578479,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.2, 'e': 0.5499999999999996}",20,0,-68.17051357463795,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
10,False,"{'a': 0.2, 'e': 0.4999999999999996}",25,0,-83.05665105778048,"{0: 15, 1: 8, 2: 0, 3: 1, 4: 1}",0
11,False,"{'a': 0.2, 'e': 0.4499999999999996}",25,0,-105.83337408094347,"{0: 13, 1: 9, 2: 0, 3: 2, 4: 1}",0
12,False,"{'a': 0.2, 'e': 0.39999999999999963}",20,2,-56.05612802769034,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 0.2, 'e': 0.34999999999999964}",25,0,6.390451629028865,"{0: 20, 1: 5, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.2, 'e': 0.29999999999999966}",25,13,-8.738644559146707,"{0: 8, 1: 4, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.2, 'e': 0.24999999999999967}",20,0,-6.17608078689938,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.2, 'e': 0.19999999999999968}",20,0,-42.41144358535181,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.2, 'e': 0.1499999999999997}",20,0,21.787771427891773,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.2, 'e': 0.09999999999999969}",20,0,-2.2702751154563297,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.2, 'e': 0.049999999999999684}",20,0,-17.140717132933244,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.2, 'e': -3.191891195797325e-16}",25,0,-18.488721478427028,"{0: 17, 1: 8, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",30,10,27.771597812202387,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-26.706998803288492,"{0: 14, 1: 5, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-15.198880851006436,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-7.715101745937483,"{0: 18, 1: 7, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-6.403716286209389,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,0,-9.33098346452966,"{0: 24, 1: 5, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,3.5498233289268244,"{0: 20, 1: 5, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,5.604593748545305,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-26.041862155924072,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-6.762369315800122,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
