trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.99}",20,0,-102.8364683732473,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.2, 'e': 0.9801}",25,0,-133.47325713648462,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.2, 'e': 0.9702989999999999}",20,0,-92.00311375258256,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.2, 'e': 0.96059601}",30,8,-102.12293705011923,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 2}",1
5,False,"{'a': 0.2, 'e': 0.9509900498999999}",30,1,-76.82667613580992,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 1}",1
6,False,"{'a': 0.2, 'e': 0.9414801494009999}",25,0,-165.8284874887728,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.2, 'e': 0.9320653479069899}",30,0,-132.89310407498115,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.2, 'e': 0.92274469442792}",20,0,-162.36660542638174,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
9,False,"{'a': 0.2, 'e': 0.9135172474836407}",20,0,-62.444777079059705,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.2, 'e': 0.9043820750088043}",20,16,7.711186982133696,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.2, 'e': 0.8953382542587163}",20,0,-105.65951754620066,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.2, 'e': 0.8863848717161291}",25,0,-49.46898402071295,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.2, 'e': 0.8775210229989678}",25,15,-54.91141356342556,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.2, 'e': 0.8687458127689781}",20,0,-24.10734400606885,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.2, 'e': 0.8600583546412883}",20,0,-67.19220221927108,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.2, 'e': 0.8514577710948754}",20,0,-83.1464458153224,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.2, 'e': 0.8429431933839266}",20,0,-113.01060205895358,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
