trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-41.023647628805065,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-83.05930579886295,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-165.56132827446675,"{0: 12, 1: 3, 2: 6, 3: 3, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-166.83754755206834,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,6,-0.8161304629076542,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-89.33143520837582,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-54.96741346009827,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-154.4500569915388,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,0,-173.13698423044295,"{0: 19, 1: 4, 2: 9, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-143.8584162810691,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-103.19084061807068,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,10,-50.80793498371417,"{0: 6, 1: 0, 2: 2, 3: 2, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-196.14814577723817,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-229.0222496092504,"{0: 8, 1: 4, 2: 10, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,8,-97.99028546153208,"{0: 11, 1: 0, 2: 3, 3: 2, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-158.65067985142375,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-131.4483977818572,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,5,-72.8463048550416,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-127.78274046179733,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-198.42772816939933,"{0: 11, 1: 0, 2: 11, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-104.3082171412523,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",30,0,-217.69220225066658,"{0: 17, 1: 4, 2: 5, 3: 0, 4: 4}",0
3,True,"{'a': 0, 'e': 0}",20,0,-108.35831913302678,"{0: 10, 1: 6, 2: 1, 3: 2, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",30,0,-105.53798461002307,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",30,0,-124.49426206450447,"{0: 16, 1: 4, 2: 8, 3: 2, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-48.710349840411,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",35,0,-281.2754139480373,"{0: 18, 1: 1, 2: 10, 3: 2, 4: 4}",0
8,True,"{'a': 0, 'e': 0}",20,0,-65.50133470106573,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-253.2860912705436,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 5}",0
10,True,"{'a': 0, 'e': 0}",20,0,-105.01516766808167,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
